Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2017,Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2015),Net international migration (2015),Net natural change (2015),% of resident population born abroad (2015),Largest migrant population by country of birth (2011),% of population from BAME groups (2016),"Overseas nationals entering the UK (NINo), (2015/16)",Employment rate (%) (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),"Gross Annual Pay, (2016)","Jobs Density, 2015","Number of active businesses, 2015",Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2015","Being bought with mortgage or loan, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Male life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
E09000001,E09000001,City of London,Inner London,8800,30.3,43.2,11.4,73.1,15.5,-7,665,30,NA,United States,27.5,975.0,64.6,1.6,NA,3.4,NA,84.3,26130,NA,12.3,NA,799999,NA,4.8,1036,34.4,1692,NA,NA,6.6,7.1,6.0,5.6,NA,2.6,129,NA,NA,NA,NA
E09000002,E09000002,Barking and Dagenham,Outer London,209000,57.9,32.9,27.2,63.1,9.7,-1176,2509,2356,37.8,Nigeria,49.5,7538.0,65.8,4.5,5.7,10.5,27886,0.5,6560,83.4,3.0,13.7,243500,27.4,33.6,644,23.4,56966,77.6,32.4,7.1,7.6,7.1,3.1,28.5,7.3,228,0.0,100.0,0.0,36.5
E09000003,E09000003,Barnet,Outer London,389600,44.9,37.3,21.1,64.9,14,-3379,5407,2757,35.2,India,38.7,13094.0,68.5,1.9,2.5,6.2,33443,0.7,26190,62.7,1.6,11.1,445000,25.2,41.3,1415,38,144717,82.1,12.8,7.5,7.8,7.4,2.8,20.7,6.0,134,50.8,47.6,1.6,40.5
E09000004,E09000004,Bexley,Outer London,244300,40.3,39,20.6,62.9,16.6,413,760,1095,16.1,Nigeria,21.4,2198.0,75.1,2.9,3.4,6.8,34350,0.6,9075,51.8,2.3,11.8,275000,35.3,31.7,975,54,108507,80.4,19.5,7.4,7.7,7.2,3.3,22.7,6.9,164,71.4,23.8,0.0,39.6
E09000005,E09000005,Brent,Outer London,332100,76.8,35.6,20.9,67.8,11.3,-7739,7640,3372,53.9,India,64.9,22162.0,69.5,3.1,2.6,8.3,29812,0.6,15745,78.8,1.8,12.1,407250,22.6,21.9,1175,35.2,87802,80.1,18.5,7.3,7.4,7.2,2.9,24.3,7.9,169,9.5,88.9,1.6,36.3
E09000006,E09000006,Bromley,Outer London,327900,21.8,40.2,19.9,62.6,17.5,1342,796,1445,18.3,India,18.9,2924.0,75.3,2.5,4.3,6.0,37682,0.6,15695,64.1,2.3,11.2,374975,34.9,57.8,1180,48,153908,81.4,16.7,7.5,7.9,7.4,3.3,16.0,5.2,148,85.0,11.7,0.0,40.8
E09000007,E09000007,Camden,Inner London,242500,111.3,36.4,17.3,71,11.7,-2917,7504,1618,41.4,United States,34.6,10384.0,69.2,3.6,4.4,8.5,39796,2.2,31385,123.5,2.7,14.8,700000,15.1,24.8,1288,26.3,46601,81.8,16.8,7.1,7.4,7.1,3.6,21.3,3.9,164,22.2,74.1,1.9,38.7
E09000008,E09000008,Croydon,Outer London,386500,44.7,37,22,64.9,13,-2605,2438,3164,29.4,India,49.9,7946.0,75.4,4.8,3.3,7.8,32696,0.6,15540,77.0,2.2,12.8,300000,33.6,37.1,1237,39.9,140049,80.3,28.4,7.1,7.6,7.2,3.3,24.5,6.5,178,42.9,57.1,0.0,38.6
E09000009,E09000009,Ealing,Outer London,351600,63.3,36.2,21.4,66.8,11.8,-6473,4007,3404,47.4,India,53.5,14927.0,72.7,3.0,3,7.9,31331,0.7,18700,75.5,1.9,11.3,430000,30.2,30.9,1342,40.1,112845,80.6,17.8,7.3,7.6,7.3,3.6,23.8,6.9,164,17.4,76.8,5.8,41.2
E09000010,E09000010,Enfield,Outer London,333000,41.2,36.3,22.8,64.4,12.8,-2077,3164,2769,35.0,Turkey,42.3,9259.0,73,3.3,3.1,9.3,31603,0.6,13925,69.4,2.2,12.2,320000,36.2,45.6,1245,38.5,119653,80.7,24.6,7.3,7.6,7.3,2.6,25.2,7.0,152,34.9,65.1,0.0,38.2
